product_name,Attributes
Hasanat Essentials 20pcs Car Radio Audio Removal Install Key Kit - Stereo Dash CD Player Removal Tool Set,Product Weight:500 Grams
2 Pack PU Leather Premium Car SeatBack Organizer - Seat Protector/Kick mats with Cup Holder (Universal),"Product color:Black, 2 Pack, Product Material:Faux Leather, Product Product-Type:Over The Door, Product Special Feature:Adjustable, Product Weight:249.48 Grams"
Carbon Fiber Anti-Skid Pattern Steering Wheel Cover - Sapphire Blue,"Product color:Blue, Product Material:Carbon Fiber, Product Weight:200 Grams"
Universal Vehicle Car Backseat Headrest Hanger Storage Organizer - Black,"Product Material:Nylon Fabric, Product Quantity:4, Product Special Feature:â€ŽWaterproof, Non-Slip, Light-weight, Travel bag, Built-in-scale, Product Weight:120 Grams"
Republic Universal Trunk Bike Carrier Rear Bike Rack for Cars,"Product color:Black, Product Vehicle Service Type:SUV, Bicycle, Product Weight:5000 Grams"
"Rolling Square inCharge X Portable Keychain Charger Cable, Sapphire Blue","Product color:Blue, Product Compatible Devices:Smartphone, Product Connectivity technology:USB, Lightning, Micro USB, Product Weight:30 Grams"
"ESR HaloLock Universal MagSafe Ring - Black and Silver, 2 Pack","Product color:Black + Silver, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:CE, Product Quantity:2 Packs, Product Weight:3.97 Grams"
"ESR HaloLock Universal MagSafe Ring - Black and Silver, 4 Pack","Product color:Black + Silver, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:CE, Product Quantity:4 Packs, Product Weight:3.97 Grams"
ESR HaloLock Universal MagSafe Ring 360 - Black,"Product color:Black, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Weight:3 Grams"
ESR HaloLock Universal MagSafe Ring 360 - Blue,"Product color:Blue, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:CE, Product Weight:2.9 Grams"
ESR HaloLock Universal MagSafe Ring 360 - Mint,"Product color:Green, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Weight:2.9 Grams"
ESR HaloLock Universal MagSafe Ring 360 - White,"Product color:White, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Display:Wireless, Product Weight:2.9 Grams"
EWA The New MagOne (Upgrade) Phone Grip Stand - MagSafe Compatible,"Product color:SILVER, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Connectivity technology:â€ŽMagnetic, Product Weight:60 Grams"
Spigen Mag Fit Phone Holder Dashboard Car Mount - Magsafe,"Product color:Black, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Connectivity technology:USB, Product Weight:31.18 Grams"
